SN,CHO Registration No,CBO Registration No,Employee Name,Employee ID,PRAN,EmployerContribution,EmployeeContribution,Totalcontributionamount,ContributionType,ContributionMonth,ContributionYear,ContributionRemarks,RegistrationCharges
1,920012,941115,Simran Kaur,EMP014  ,900040050607,3200,3350,6550,V,4,2025,,No
2,920012,941115,Arjun Sethi,EMP015  ,900030050616,5000,5040,10040,V,4,2025,,No
3,920012,941115,Meenal Joshi,EMP016,900080050619,3750,3300,7050,V,4,2025,,No
4,920012,941115,Aarav Sharma,EMP017,900010107009,4600,4900,9500,V,4,2025,,No
5,920012,941115,Ananya Verma,EMP018,900000037222,3300,2950,6250,V,4,2025,,No
6,920012,941115,Vivaan Mehta,EMP019,901000071680,4900,3800,8700,V,4,2025,,No
7,920012,941115,Diya Iyer,EMP020,900060071066,2950,5000,7950,V,4,2025,,No
8,920012,941115,Reyansh Kapoor,EMP021,900090108753,3800,3750,7550,V,4,2025,,No
9,920012,941115,Ishita Reddy,EMP022,900000037777,5000,4600,9600,V,4,2025,,No
10,920012,941115,Krish Nair,EMP023,900000021203,3750,3300,7050,V,4,2025,,No
11,920012,941115,Saanvi Joshi,EMP024,900040072560,4600,4900,9500,V,4,2025,,No
12,920012,941115,Arjun Deshmukh,EMP025,900030107459,3300,2950,6250,V,4,2025,,No
13,920012,941115,Meera Pillai,EMP026,900000056779,4900,3800,8700,V,4,2025,,No
14,920012,941115,Rudra Chauhan,EMP027,900000038306,2950,5400,8350,V,4,2025,,No
15,920012,941115,Kavya Sinha,EMP028,900050063316,3800,4500,8300,V,4,2025,,No
16,920012,941115,Aditya Malhotra,EMP029,900000041812,5400,3300,8700,V,4,2025,,No
17,920012,941115,Tanya Bansal,EMP030,900080057473,4500,4900,9400,V,4,2025,,No
18,920012,941115,Kunal Ahuja,EMP031,900050054292,5300,2950,8250,V,4,2025,,No
19,920012,941115,Riya Menon,EMP032,900000040697,4400,3800,8200,V,4,2025,,No
20,920012,941115,Yash Thakur,EMP033,900000062839,5600,3300,8900,V,4,2025,,No
21,920012,941115,Sneha Patil,EMP034,900080060700,5700,4900,10600,V,4,2025,,No
22,920012,941115,Rohan Gupta,EMP035,900000026282,5800,2950,8750,V,4,2025,,No
23,920012,941115,Pooja Saxena,EMP036,900070108608,5900,3800,9700,V,4,2025,,No
24,920012,941115,Nikhil Das,EMP037,900040106951,6000,5000,11000,V,4,2025,,No
25,920012,941115,Neha Dubey,EMP038,900030108661,6100,3750,9850,V,4,2025,,No
26,920012,941115,Amit Solanki,EMP039,900040066693,6200,4600,10800,V,4,2025,,No
27,920012,941115,Swati Agarwal,EMP040,900020085651,6300,3300,9600,V,4,2025,,No
28,920012,941115,Manav Bhatt,EMP041,901000108663,6400,4900,11300,V,4,2025,,No
29,920012,941115,Priya Shetty,EMP042,900080065735,6500,2950,9450,V,4,2025,,No
30,920012,941115,Siddharth Rao,EMP043,900010112615,6600,3800,10400,V,4,2025,,No
